term,reading,meaning,pos,source_scope,source_type,difficulty,notes
ブーム,ブーム,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
プール,プール,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
増える,ふえる,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
部活,ぶかつ,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
複雑,ふくざつ,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
復習,ふくしゅう,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
服装,ふくそう,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
含む,ふくむ,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
不思議,ふしぎ,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
防ぐ,ふせぐ,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
蓋,ふた,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
ふだん,ふだん,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
ぶつかる,ぶつかる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
物理,ぶつり,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
ぶどう,ぶどう,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
太る,ふとる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
布団,ふとん,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
部分,ぶぶん,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
踏む,ふむ,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
増やす,ふやす,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
プラスチック,プラスチック,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
振る,ふる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
触れ合い,ふれあい,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
文化祭,ぶんかさい,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
分析,ぶんせき,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
分類,ぶんるい,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
平気,へいき,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
平均,へいきん,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
平行,へいこう,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
ベストセラー,ベストセラー,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
減らす,へらす,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
減る,へる,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
変,へん,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
貿易,ぼうえき,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
崩壊,ほうかい,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
方向,ほうこう,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
報道,ほうどう,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
方法,ほうほう,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
訪問,ほうもん,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
法律,ほうりつ,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
ホームステイ,ホームステイ,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
ポケット,ポケット,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
保護,ほご,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
誇り,ほこり,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
保存,ほぞん,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
ボタン,ボタン,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
ほっと,ほっと,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
ホテル,ホテル,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
歩道,ほどう,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
骨,ほね,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
褒める,ほめる,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
ボランティア,ボランティア,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
掘る,ほる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
参る,まいる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
曲がる,まがる,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
巻く,まく,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
枕,まくら,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
孫,まご,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
摩擦,まさつ,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
まずい,まずい,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
貧しい,まずしい,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
ますます,ますます,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
混ぜる,まぜる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
間違える,まちがえる,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
まったく,まったく,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
祭り,まつり,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
まとめる,まとめる,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
マナー,マナー,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
豆,まめ,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
迷う,まよう,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
まるで,まるで,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
回す,まわす,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
周り,まわり,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
回る,まわる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
満足,まんぞく,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
見かける,みかける,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
味方,みかた,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
見せる,みせる,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
見つかる,みつかる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
見つける,みつける,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
認める,みとめる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
港,みなと,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
