pattern,meaning_cn,core_usage,example,source_scope,source_type,difficulty,confusable_with,notes
名词：可数名词、不可数名词、专有名词、名词所有格,词类与名词系统,词类与名词系统,,gaokao-english,official_curriculum_2020,2,,普通高中英语课程标准（2017年版2020年修订）附录3语法项目一览。
动词：基本形式、及物/不及物、系动词、助动词、情态动词,词类与动词系统,词类与动词系统,,gaokao-english,official_curriculum_2020,2,,普通高中英语课程标准（2017年版2020年修订）附录3语法项目一览。
形容词与副词：基本形式、比较级、最高级,词类与修饰关系,词类与修饰关系,,gaokao-english,official_curriculum_2020,2,,普通高中英语课程标准（2017年版2020年修订）附录3语法项目一览。
代词、数词、介词、连词、冠词,基础词类与句法连接,基础词类与句法连接,,gaokao-english,official_curriculum_2020,2,,普通高中英语课程标准（2017年版2020年修订）附录3语法项目一览。
句子种类：陈述句、疑问句、祈使句、感叹句,句式识别与表达,句式识别与表达,,gaokao-english,official_curriculum_2020,2,,普通高中英语课程标准（2017年版2020年修订）附录3语法项目一览。
时态、语态、主谓一致,谓语结构,谓语结构,,gaokao-english,official_curriculum_2020,2,,普通高中英语课程标准（2017年版2020年修订）附录3语法项目一览。
非谓语动词：动词不定式、动词-ing形式、过去分词,非谓语结构,非谓语结构,,gaokao-english,official_curriculum_2020,2,,普通高中英语课程标准（2017年版2020年修订）附录3语法项目一览。
从句：定语从句、状语从句、名词性从句,复合句,复合句,,gaokao-english,official_curriculum_2020,2,,普通高中英语课程标准（2017年版2020年修订）附录3语法项目一览。
直接引语与间接引语、省略、倒装、强调,特殊句式,特殊句式,,gaokao-english,official_curriculum_2020,2,,普通高中英语课程标准（2017年版2020年修订）附录3语法项目一览。
